Country,Estimate_year,Estimate_month,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
Afghanistan,5764704,480392,5885,18301,20140,20344,19523,18460,17445
Albania,1333872,111156,3202,3085,3220,2637,4994,5880,4771
Algeria,76069056,6339088,249365,150252,197754,269422,237921,245646,234412
Angola,10000656,833388,36412,18142,14445,35386,32319,34742,36901
Argentina,8685216,723768,28979,17745,13518,27953,30812,31589,30346
Armenia,2254800,187900,9013,7589,6314,5163,6828,6443,5625
Australia,19064832,1588736,63804,57213,50029,55410,59319,56329,55080
Austria,21402240,1783520,63883,61845,58266,64127,68708,66163,62888
Azerbaijan,5136384,428032,19089,16568,13203,11751,15889,15754,14754
Bahamas,27888,2324,90,101,22,17,104,124,123
Bangladesh,51052896,4254408,64313,140170,176664,175930,172265,169194,165066
Belarus,29705712,2475476,102348,89058,81197,83371,89092,87838,85965
Belgium,22320144,1860012,71503,66247,57179,59706,70958,70441,68969
Belize,120576,10048,357,364,301,253,435,425,377
Benin,6696144,558012,26573,23052,10605,7409,25090,23985,22789
Bolivia,7471008,622584,28877,26172,15570,11168,24757,24666,24436
Bosnia and Herzegovina,2052624,171052,7811,7541,4040,3590,3933,8184,7664
Botswana,2070768,172564,9402,6595,3086,3514,7214,6923,6407
Brazil,1380164640,115013720,4561078,1889955,1474472,4187565,5443635,5572852,5623873
Brunei Darussalam,268800,22400,585,849,742,602,1068,872,882
Bulgaria,4320288,360024,14844,14004,11304,10510,12553,13520,13271
Burkina Faso,11705184,975432,40759,38465,17076,13154,45689,44857,43858
Burundi,2165376,180448,7882,2536,1766,8080,8488,8432,7928
Cameroon,12156384,1013032,45530,44169,25879,14331,43426,40541,39382
Canada,122249712,10187476,246270,212488,200629,249850,441939,579898,615795
Central African Republic,317856,26488,1202,519,184,500,1630,1413,1174
Chad,482880,40240,2027,1007,622,1022,1989,1699,1694
Chile,8070288,672524,27062,15356,15763,27891,27243,27388,27428
China,1076752704,89729392,3625434,2918188,2452805,3461410,3302645,3336821,3335045
Colombia,34688880,2890740,123686,79147,48383,117807,122426,117476,113760
Congo,1574112,131176,6154,3407,2666,5956,5316,4784,4511
Costa Rica,2841888,236824,10565,5636,4584,9797,10074,9297,9253
Croatia,1763280,146940,6287,3651,3959,5838,6768,5230,5002
