,Company,State,Type of breach,Type of organization,Total Records,Description of incident,Year,Latitude,Longitude
0,George Mason University,Virginia,HACK,educational,32000.0,"Names, photos, and Social Security numbers of 32,000 students and staff were compromised because of a hacker attack on the University's main ID server.",2005,38.846224,-77.306373
1,"University of California, San Diego",California,HACK,educational,3500.0,A hacker breached the security of two University computers that stored the Social Security numbers and names of students and alumni of UCSD Extension.,2005,32.715329,-117.157255
2,University of Northern Colorado,Colorado,PORT,educational,15790.0,"A hard drive was lost or stolen. It contained information on current and former University 
            employees and their beneficiaries and dates back to April of 1997.  Names, dates of birth, SSNs, addresses, 
            bank account numbers and routing numbers may have been accessed.",2005,40.423314,-104.709132
3,Science Applications International Corp. (SAIC),California,STAT,online,45000.0,"On January 25 thieves broke 
            into a SAIC facility and stole computers containing personal information of past and current employees. Stolen information 
            included names, Social Security numbers, addresses, phone numbers and records of financial 
            transactions.",2005,32.715329,-117.157255
4,ChoicePoint,Georgia,INSD,online,163000.0,"Fraudsters who presented themselves as legitimate ChoicePoint customers purchased data profiles from ChoicePoint on individuals and used that data to commit identity theft. The initial number of affected records was estimated at 145,000 
                but was later revised to 163,000. 

                UPDATE(1/26/06): 
                ChoicePoint settled with the Federal 
                Trade Commission for $10 million in civil penalties and $5 
                million for consumer redress.
                UPDATE (12/06/06): 
                The FTC 
                announced that victims of identity theft as a result of the 
                data breach who had out-of-pocket expenses can now be reimbursed. 
                The claims deadline is Feb. 4, 2007.
                UPDATE (06/24/07): 
                Starting Dec. 2006, the FTC began mailing claims forms to victims 
                of the breach. Its Web 
                site provides information about the claims process. Deadline 
                is Aug. 18, 2007. Victims can be reimbursed for out-of-pocket 
                expenses resulting from identity theft connected to the breach. 
                Call (888) 884-8772, or email cpredress@ftc.gov. 

                UPDATE (11/04/07): 
                Since its 2005 data security incident, ChoicePoint has implemented 
                enhancements to its privacy and information security framework 
                including the establishment of an Office of Privacy, Ethics and 
                Compliance to reinforce the responsible use and protection of 
                information at ChoicePoint through policies and procedures, audit 
                and compliance, and outreach and education. Visit www.privacyatchoicepoint.com.
                UPDATE (1/27/08): 
                Has agreed to pay $10 million to settle a class action lawsuit",2005,34.075376,-84.29409
5,University of Chicago Hospital,Illinois,INSD,medical,85.0,The FBI launched an investigation into possible fraud by at least one hospital employee. As many as 85 patients may have been affected.  The hospital contacted all affected patients.,2005,41.850033,-87.650052
6,PayMaxx,Florida,DISC,financial,100000.0,"A software glitch at PayMaxx Inc., a Franklin, Tenn., payroll 
processing company, accidentally revealed personal financial 
information on as many as 100,000 individuals, including Social Security numbers. The problem arose in a PayMaxx feature that enabled employees to use the 
Internet to get their W-2 forms, the standard tax information form 
issued by companies to their employees. ",2005,25.987314,-80.232271
7,Bank of America Corp.,North Carolina,PORT,financial,1200000.0,"Computer tapes with credit card information, Social Security numbers, addresses and account numbers were lost.  Bank of America began monitoring the customer accounts on the lost tapes and said it would contact cardholders if unusual activity was detected.  Around 900,000 of the account holders affected were Defense Department employees.",2005,35.227087,-80.843127
8,"DSW Shoe Warehouse, Retail Ventures",Ohio,HACK,social,1400000.0,"Credit card information from customers in 25 states was compromised. UPDATE (04/19/2005): An additional 
              
              1,300,000 customers were added to the initial estimate of 100,000.UPDATE (08/23/2012): DSW was locked in a dispute with National Union over insurance coverage.  A federal appellate court ruled that DSW was entitled to insurance coverage of more than $6.8 million in stipulated losses and prejudgment interest.",2005,39.961176,-82.998794
9,LexisNexis,Ohio,INSD,online,310000.0,"Unauthorized individuals used IDs and passwords of legitimate 
customers to obtain consumers' Social Security numbers, driver's license
 numbers, and names and addresses. 




     Most of the breaches were at the company's subsidiary 
Seisint Inc., based in Florida. UPDATE (4/12/05) An internal investigation at LexisNexis has uncovered evidence that an additional 280,000 records may have been involved in this breach, increasing the total from 30,000 to 310,000.UPDATE
            (06/30/06): Five men were arrested in connection with this 
            breach.",2005,39.758948,-84.191607
