,entity,records lost,year,story,sector,method,data sensitivity,records adjusted
0,AOL,20000000.0,2006,"Aug 2006. Derp. AOL voluntarily released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",web,oops!,1,20.0
1,Monster.com,1600000.0,2007,"Aug 2007. A trojan virus stole log-ins that were used to harvest user names, e-mail addresses, home addresses and phone numbers. Soon after phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact a program that encrypted files in their computer and left a ransom note demanding money for their decryption.

",web,hacked,2,1.6
2,Auction.co.kr,18000000.0,2008,Feb 2008. South Korea’s largest online shopping site was attacked by a Chinese hacker who made off with the user information on 18 million members & a large amount of financial data.,web,hacked,3,18.0
3,RockYou!,32000000.0,2009,"Dec 2009. The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses, using simple techniques to gain access to 32 million user accounts.",web,hacked,1,32.0
4,Network Solutions,573000.0,2009,"Jul 2009. A large-scale infection of WordPress-driven blogs with malicious code led to the compromise of 573,000 debit and credit cards.",web,hacked,3,0.573
5,Gawker.com,1500000.0,2010,"Dec 2010. Hacked. 1.5 Million usernames, emails, passwords taken.",web,hacked,2,1.5
6,Betfair,2300000.0,2011,"May 2011. Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. Betfair's systems breach, which occurred in March and April 2010, was not uncovered until this past May, when a server crashed.",web,hacked,3,2.3
7,Epsilon,3000000.0,2011,"Apr 2011. Names & email addresses of customers of Barclaycard US, Capital One, JP Morgan, Citigroup & other firms have been stolen.  ",web,hacked,1,3.0
8,Chinese gaming sites,10000000.0,2011,"Dec 2011. Several major Chinese gaming sites were hacked, breaching a total of 38,000,000 user records.",web,hacked,1,10.0
9,Writerspace.com,62000.0,2011,"Jun 2011. Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com. ",web,hacked,1,0.062
10,Sony Pictures,1000000.0,2011,"Jun 2011. LulzSec hacking collective stated all of the information it took was unencrypted, “Sony stored over 1,000,000 passwords of its customers in plaintext."" More than 1 million user accounts were compromised. An additional 75,000 music codes and 3.5 million coupons were also uncovered.",web,hacked,1,1.0
11,Steam,35000000.0,2011,Nov 2011. Attackers used login details from a Steam forum hack to access a database that held ID and credit card data.,web,hacked,3,35.0
12,Nexon Korea Corp,13200000.0,2011,Nov 2011. Personal data of subscribers to online game Maple Story was leaked.,web,hacked,2,13.2
13,China Software Developer Network,6000000.0,2012,"Mar 2012. Police have arrested a man, surnamed Zeng, suspected of leaking personal information belonging to more than 6 million users of the China Software Developer Network (CSDN). Zeng has been detained on charges of illegal acquisition of computer data.",web,hacked,1,6.0
14,Dropbox,68000000.0,2012,"Aug 2012. Dropbox acknowledged the breach at the time it occurred, but it didn't disclose the full extent of the hack.",web,hacked,1,68.0
15,Zappos,24000000.0,2012,Jan 2012. The Amazon-owned e-commerce firm has revealed that it was the target of a cyber attack that gained access to its internal network.,web,hacked,2,24.0
16,Formspring,420000.0,2012,"Jul 2012. Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",web,hacked,1,0.42
17,Yahoo Voices,450000.0,2012,"Jul 2012. Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",web,hacked,1,0.45
18,Last.fm,43500000.0,2012,"Sep 2016. Usernames, email addresses, join date, and other internal records, such as newsletter sign-ups and ad-related data, were stolen in the 2012 breach",web,hacked,1,43.5
19,"LinkedIn, eHarmony, Last.fm",8000000.0,2012,"Jun 2012. Hacker 'dwdm' uploaded a file containing 6.5 million passwords on a Russian hacker forum. Soon after another 1.5 million passwords were discovered.  On analysis, 93% of the passwords could be found in the Top 10,000 password list.",web,hacked,1,8.0
